200,0.1798,0.4643,-0.1292,-2.4162,0.2150,2.8587,0.6424,0.4798,0.0069,0.1223,0.4378,0.0053,0.1316,2
208,0.1813,0.4301,-0.1279,-2.4782,0.2183,2.8872,0.6385,0.4614,0.0062,0.1245,0.4191,0.0046,0.1341,2
216,0.1822,0.3956,-0.1262,-2.5394,0.2219,2.9147,0.6345,0.4429,0.0055,0.1270,0.4004,0.0039,0.1366,2
224,0.1826,0.3607,-0.1240,-2.5999,0.2259,2.9414,0.6304,0.4244,0.0048,0.1296,0.3817,0.0032,0.1391,2
232,0.1825,0.3257,-0.1213,-2.6597,0.2302,2.9673,0.6263,0.4059,0.0041,0.1323,0.3631,0.0024,0.1416,2
240,0.1818,0.2906,-0.1179,-2.7188,0.2349,2.9923,0.6221,0.3873,0.0034,0.1350,0.3444,0.0017,0.1441,2
248,0.1804,0.2551,-0.1137,-2.7771,0.2401,3.0165,0.6178,0.3687,0.0027,0.1378,0.3257,0.0010,0.1466,2
256,0.1779,0.2193,-0.1082,-2.8349,0.2462,3.0397,0.6132,0.3501,0.0021,0.1406,0.3070,0.0003,0.1491,2
0,0.8648,0.1283,-0.9562,-0.5004,0.1628,0.1265,0.1991,0.2823,0.0484,0.8707,0.2840,0.0466,0.8748,2
8,0.9533,0.1279,-1.0007,-0.5823,0.1686,0.2003,0.2365,0.3058,0.0617,0.8591,0.3186,0.0469,0.9013,2
16,0.9742,0.1453,-1.0346,-0.5995,0.1820,0.2820,0.2993,0.3243,0.0684,0.8555,0.3532,0.0472,0.9279,2
24,0.9492,0.1448,-0.9972,-0.5905,0.1806,0.3777,0.3888,0.3361,0.0719,0.8607,0.3877,0.0475,0.9544,2
32,0.8876,0.1444,-0.9276,-0.5739,0.1578,0.4632,0.5028,0.3469,0.0699,0.8673,0.4223,0.0478,0.9810,2
40,0.7699,0.1653,-0.8191,-0.5475,0.1275,0.5149,0.6325,0.3621,0.0660,0.8675,0.4569,0.0481,1.0075,2
48,0.6480,0.1942,-0.7259,-0.5588,0.1107,0.5456,0.7552,0.3876,0.0555,0.8543,0.4915,0.0484,1.0341,2
